Property Reference,Works Order Reference,Job Trade Code,Works Order Raised Date
10152,3013541/1,DECORATING,2/15/2021
10152,3013541/1,WALLFLOOR,2/15/2021
10152,3013541/2,PLASTERWRK,2/19/2021
10152,3013541/2,WALLFLOOR,2/19/2021
10152,3024506/1,CARPENTRY,3/5/2021
10152,3024506/1,PLUMBING,3/5/2021
10153,2875453/1,DRAINAGE,5/26/2020
10153,2875453/1,PLUMBING,5/26/2020
10153,2875453/2,DRAINAGE,5/27/2020
10153,2875453/2,PLUMBING,5/27/2020
10153,2876266/1,DRAINAGE,5/27/2020
10153,2876266/1,PLUMBING,5/27/2020
10153,2885411/1,PLUMBING,6/17/2020
10153,2887587/1,DRAINAGE,6/22/2020
10153,2985969/1,DRAINAGE,12/23/2020
10153,2985969/1,PLUMBING,12/23/2020
10153,2985969/2,PLUMBING,12/23/2020
10153,2985969/3,DRAINAGE,12/23/2020
10153,2985969/3,PLUMBING,12/23/2020
10154,2913081/1,PLUMBING,8/10/2020
10156,2954970/1,PLUMBING,10/28/2020
10156,2955550/1,PLUMBING,10/29/2020
10157,2939885/1,PLUMBING,10/1/2020
10158,2869578/1,PLUMBING,5/5/2020
10158,2933513/1,ELECTRICAL,9/21/2020
10158,2933513/2,ELECTRICAL,9/28/2020
10158,2933916/1,ELECTRICAL,9/21/2020
10158,3006304/1,PLUMBING,2/2/2021
10160,2957933/1,PLUMBING,11/3/2020
10162,2937354/1,PLUMBING,9/26/2020
10162,2937354/2,PLUMBING,9/28/2020
10164,2887989/1,PLUMBING,6/22/2020
10164,2887993/1,ELECTRICAL,6/22/2020
10164,2912460/1,PLUMBING,8/7/2020
10164,3035350/1,PLUMBING,3/25/2021
10164,3035350/1,WALLFLOOR,3/25/2021
10164,3035739/1,CARPENTRY,3/26/2021
10166,3000495/1,ELECTRICAL,1/22/2021
10167,2856552/2,PLUMBING,5/6/2020
10167,2877615/1,GROUNDWORK,6/1/2020
10167,3016091/1,BRICKWORK,2/18/2021
10167,3016091/1,CARPENTRY,2/18/2021
10168,2894690/1,PLUMBING,7/3/2020
10168,2898821/1,ELECTRICAL,7/10/2020
10168,2902815/1,PLUMBING,7/20/2020
10168,2912127/1,DRAINAGE,8/7/2020
10168,2912127/1,GROUNDWORK,8/7/2020
10168,2912127/1,PLUMBING,8/7/2020
10168,2945559/1,DRAINAGE,10/12/2020
10168,2945559/1,PLUMBING,10/12/2020
10169,2902817/1,PLUMBING,7/20/2020
10169,2902822/1,PLUMBING,7/20/2020
10169,2902832/1,ELECTRICAL,7/20/2020
10169,2904892/1,CARPENTRY,7/23/2020
10169,2910885/1,ELECTRICAL,8/5/2020
10169,2954742/1,ELECTRICAL,10/28/2020
10169,3021584/1,PLUMBING,3/1/2021
10170,2868345/1,ELECTRICAL,4/30/2020
10172,2868430/1,PLUMBING,4/30/2020
10172,2874624/1,PLUMBING,5/21/2020
10172,2874624/1,WALLFLOOR,5/21/2020
10172,2930537/1,ELECTRICAL,9/14/2020
10172,2985578/1,PLUMBING,12/22/2020
10174,2989794/1,PLUMBING,1/5/2021
10176,2915499/1,CARPENTRY,8/14/2020
10176,2915499/1,PLUMBING,8/14/2020
10178,3001850/1,CARPENTRY,1/26/2021
10178,3001850/1,GLAZING,1/26/2021
10182,2873235/1,CARPENTRY,5/18/2020
10182,2873268/1,PLUMBING,5/18/2020
10183,2876563/1,ELECTRICAL,5/28/2020
10183,2876567/1,CARPENTRY,5/28/2020
10183,2876905/1,CARPENTRY,5/29/2020
10183,2946833/1,PLUMBING,10/13/2020
10183,2946833/2,PLUMBING,10/14/2020
10183,2949472/1,PLUMBING,10/19/2020
10187,2885979/1,PLUMBING,6/17/2020
10187,2910526/1,ELECTRICAL,8/4/2020
10187,3025259/1,PLUMBING,3/7/2021
10189,2951115/1,ELECTRICAL,10/21/2020
10189,2961966/1,ELECTRICAL,11/11/2020
